course_name,course_code,course_location,course_units,course_semester,course_url,Course description,Learning objectives,Outcomes,Content details,Prerequisites,Faculty,Course discipline,Course format,Course concentration,,,,,,
Artificial Intelligence for Engineers,04-655,Africa,12,Fall,https://www.africa.engineering.cmu.edu/academics/courses/04-655.html,"This is a graduate-level course on Artificial Intelligence designed to present a larger view of AI covering principles and techniques. It is primarily intended for those with backgrounds in engineering, science and IT who have not previously taken the subject formally or have been exposed to only some of the constituent elements. The course provides the foundations for further study, research, and application in different areas.
Topics include: Intelligent agents, search, games, CSP, knowledge representation, logic, reasoning, planning, probabilistic reasoning, decision making, Machine Learning basics, Neural Networks, deep learning, Natural Language Processing basics, machine vision, AI in robotics, and ethics and philosophy of AI.
Several assignments and a final project will be given to enable the student to gain practical experience in applying these techniques.",[],"Upon course completion, students should be able to:
Apply classical AI techniques including search algorithms, minimax algorithms, neural networks, tracking, and robot localizationApply AI techniques for problem-solvingExplain the limitations of current AI techniques","Intelligent agentsSearchGames, constraint programmingKnowledge, logicProbabilistic reasoning, planning, decision makingMachine learning basicsNeural network and deep learning basicsNatural language processing basicsAdvanced topics and ethics of AI","None. However, an ability to code in a programming language and an understanding of probability are expected. Prospective students should consult the instructor if they are either lacking or have already taken another AI course.",Ahmed Biyabani,"ECE, MSIT, MS EAI",In person expectation,Not specified,,,,,,
Cloud Infrastructure and Computing,04-800-J,Africa,12,Fall,https://www.africa.engineering.cmu.edu/academics/courses/04-800-J.html,"This course covers the fundamentals of cloud computing, including servers, storage, databases, networking, software, analytics, and intelligence accessed over the internet. The course will cover the main cloud computing models, including Infrastructure as a Service (IaaS), Platform as a Service (PaaS), and Software as a Service (SaaS). You will also learn about the different deployment models, such as public, private, and hybrid clouds.The course provides hands-on experience using cloud computing platforms such as Amazon Web Services (AWS), Microsoft Azure, and Google Cloud Platform (GCP). You will learn how to deploy, manage, and scale cloud-based applications, as well as how to secure your cloud infrastructure. Other topics include cloud storage, virtualization, containerization, and serverless computing.","The objective of this course is to give students an overview of the field of Cloud Computing, its underlying enabling technology, and interact with cloud computing to gain hands-on skills through projects. Specifically, the course has the following objectives:
Students will learn:
the fundamental ideas behind Cloud Computing, the evolution of the paradigm, its applicability, benefits, as well as current and future challenges.the basic ideas and principles in data center design; cloud management techniques and cloud software deployment considerations.different CPU, memory and I/O virtualization techniques that serve in offering software, computation and storage services on the cloud; Software Defined Networks (SDN) and Software Defined Storage (SDS); Cloud Orchestration with Openstack testbed.Cloud storage technologies and relevant distributed file systems, NoSQL databases and object storage","After completing this course, students will be able to do the following:
Explain the core concepts of the cloud computing paradigm: how and why this paradigm shift came about, the characteristics, advantages and challenges brought about by the various models and services in cloud computing.Understand and apply Virtualization (hypervisors for bare metal, and hosted, container)Deploy and use application on Cloud computing models, IaaS, PaaS, SaaSDiscuss system, network and storage virtualization and outline their role in enabling the cloud computing system model.Programming models for the cloud computingUnderstand consistency Availability and Partition Tolerance (CAP) theoremApply distributed application in the cloud computingCalculation of Power usage effectiveness (PUE) to determine the energy efficiency of a data centerUnderstand the cloud compliance, the Service Level Agreement (SLA), Service Level Objective (SLO), Service Level Indicator (SLI)","Introduction
Definition and evolution of Cloud ComputingEnabling Technologies, Service and Deployment Models Popular Cloud Stacks and Use CasesBenefits, Risks, and Challenges of Cloud Computing

Virtualization
Virtualization (CPU, Memory, I/O),software & storage defined networkHosted hypervisorBare metal hypervisorDocker

Cloud Infrastructure
Historical Perspective of Data CentersExplain the fundamental principles and methods for autonomic computing systemHow is a data center operated in a self-managedApply fundamental principles and methods of autonomic computing to management of data centers and cloud services.Analyze the impact of autonomic systems on system lifecycle managementDesign and implement algorithms for autonomic management of data center resourcesOrchestration of Cloud, OpenStack testBed

Cloud Storage
Introduction to Storage Systems Cloud Storage ConceptsCloud programming modelsDistributed File SystemsDistributed DatabasesPower efficiencyPower efficient computingHeat managementHow much power is used for running a serverMeasure Web server power-performance tradeoffOptimize (self-manage) power-performanceUse autonomic management method(s)

Compliance and security
Service level SLA, SLO, SLICloud security",,Emmanuel NdashimyeandChristine Niyizamwiyitira,"ECE, MSIT, MS EAI",In person expectation,Not specified,,,,,,
Networking Lab,18-859-R,Africa,12,Fall,https://www.africa.engineering.cmu.edu/academics/courses/18-859-R.html,"This course aims to give hands-on knowledge of network principles and the challenges to make an operational network. By the end of this course, students should be able to deploy and configure a basic enterprise network.","Students will learn to apply networking principles through the set-up, configuration, and testing of actual network switches, routers, and other networking and computing equipment. Students will complete weekly labs that require them to implement a specific network configuration. Students will get familiar with switching and routing protocols through intensive lab work and projects.","After completing this course, students will be able to do the following:
Design and configure an Ethernet LAN with VLANsOptimize the use of IPV4 (IPV4 subnetting)Configure various routing protocolsDeploy ACL-based FirewallsUnderstand IPV6 and its subnettingDesign an SDN network","Basic Ethernet LANs and SwitchesEthernet Design, VLANs & TroubleshootingAdvanced Ethernet VLANs, STP, and TrunkingIPv4 SubnettingImplementing IPv4 on routersRouting Protocols (RIP version I)Routing Protocols (RIP version II)Routing Protocols (EIGRP)Routing Protocols (OSPF)Access Lists and NATIPv6 SubnettingSDN and Cloud",04-641 Fundamentals of Telecommunications and Computer Networks(may be taken concurrently) or a similar class.,Emmanuel Ndashimye,MSIT,In person expectation,Not specified,,,,,,
"Privacy, Policy, Law & Tech",19-608,Africa,12,Fall,https://www.africa.engineering.cmu.edu/academics/courses/19-608.html,"This course focuses on policy issues related to privacy from the perspectives of governments, organizations, and individuals. We will begin with a historical and philosophical study of privacy and then explore recent public policy issues. We will examine the privacy protections provided by laws and regulations, as well as the way technology can be used to protect privacy. We will emphasize technology-related privacy concerns and mitigation, for example: social networks, smartphones, behavioral advertising (and tools to prevent targeted advertising and tracking), anonymous communication systems, big data, and drones. Programming skills are not required. This course will include a lot of reading, writing, and class discussion. Students will be able to tailor their assignments to their skills and interests, focusing more on programming or writing papers as they see fit. However, all students will be expected to do some writing and some technical work. A large emphasis will be placed on research and communication skills, which will be taught throughout the course.","By the end of this course, students should:
Be able to discuss why privacy is important to societyBe familiar with the fair information practice principles as well as the privacy law and policy landscape in the United StatesUnderstand the differences between privacy regulation in the US and EU, and be able to discuss different regulatory approaches to privacyBe able to read, understand, and evaluate privacy policiesUnderstand the mechanics of online tracking and other technologies with privacy implicationsBe able to communicate the privacy implications of technology with policy-makers, lawyers, and engineers
Students should be prepared to pass the IAPP Certified Information Privacy Professional exams.
Visitthe course pagefor more information.",,,None,"Lujo Bauer
","ECE, MSIT, MS EAI",Distance learning,Not specified,,,,,,
Robotics: Principles and Practice,18-799-L,Africa,12,Fall,https://www.africa.engineering.cmu.edu/academics/courses/18-799-L.html,"Robotics is the discipline that is concerned with physical, autonomous systems that can sense their environment and act on it to achieve goals, either by moving around their environment, moving objects in their environment, or both. This course explains how they do this, covering the theoretical knowledge required to sense the state of the robot and its environment and control the robot to accomplish its tasks. This theory is put into practice throughout the course using robot simulators and physical robots. Students will gain a greater understanding of each topic through a series of individual and group assignments and exercises, using the principles they have learned to write software that allows a robot to navigate to given targets and manipulate objects based on visual sensing. This course is an ideal foundation for further study in the field of robotics. Student progress is assessed by a series of multiple-choice tests and written individual & group assignments.","Students will be introduced to the different types of robots and the components, effectors, actuators, sensors, and control systems that are used for visual sensing, locomotion, and object manipulation. For mobile robots, students will learn the main principles of odometry, position estimation, kinematics, inverse kinematics, control, locomotion, path planning, and navigation. For robot manipulators, they will learn the theory required for pose specification, object manipulation, and task-level robot programming. For visual sensing, students will learn the fundamentals of image processing, image analysis, feature extraction, classification, camera calibration, and 2D & 3D computer vision. They will learn how to program robots using ROS (Robot Operating System), C/C++, and OpenCV, putting into practice in the lab what they have learned in the classroom.","After completing this course, students will be able to:
Explain the operation of the different components of a robot, including sensors, actuators, effectors, and control systems.Describe the different types of robot and their applications.Explain how mobile robots control their effectors for locomotion using odometry and absolute position estimation.Use graph-based techniques to plan an effective path to a goal position and orientation.Use homogeneous transformations, vectors, and quaternions to specify the position and orientation of objects.Write task-level robot programs to manipulate objects.Use robot vision to detect objects and determine their position and orientation.Apply their knowledge to write ROS-based computer programs that control mobile robots and robot arms, enabling the robots to recognize and manipulate objects and navigate their environments.","Overview of roboticsRobot componentsSensors, actuators, effectors, control systemsThe Robot Operating System (ROS)Writing ROS software: publishers, subscribers, and servicesMobile robotsAbsolute and relative position estimationRobot kinematics, odometry, locomotion, navigation, path planningRobot manipulatorsCoordinate reference frames, homogeneous transformations, and pose specificationsTask-level programming, pick-and-place applicationsInverse kinematicsRobot visionOptics and sensorsImage acquisition and representationImage processing and image analysisFeature extraction and classificationCamera models, inverse perspective transformations, and stereo vision",None,David Vernon,ECE,In person expectation,Not specified,,,,,,
Tech Startups: Tools and Techniques,04-616,Africa,12,Spring,https://www.africa.engineering.cmu.edu/academics/courses/04-616.html,"The first three years of a technology start-up, when the company's DNA or trajectory is set, are the most critical. Too few entrepreneurs appreciate this fact and, as a result, many start without the essential skills, talents, and capabilities needed to set the company on a successful path. Some of these entrepreneurial skills can only be learned through starting and growing a business while others can be learned.
This course bridges the challenging gap between learning and doing entrepreneurship. We introduce the essential skill of market discovery, or learning to create, develop, and evaluate the concept of your business. Is my idea a real innovation? Is it also a business or a product, or neither? How do I know how big the market is for my product? What are the technology market and competitive risks in my idea and how do I assess them? Can I compete? Can I sell it? How? When? Where? Students will have the opportunity to apply their newfound practical skills gathered in part from lectures from experienced entrepreneurs and investors to case studies, role-playing, and solving actual problems of local tech businesses.
The best way to learn entrepreneurship is by doing, so the course will use ‘true-to-life’ scenarios. The class will be divided into teams and will focus on a company that is either (1) a student idea for a new start-up, (2) an existing start-up (ideally local), or (3) a hypothetical start-up proposed/conceived by the students, the professor, or both.","Each student will be better able to do the following by the end of the course:
Understand how new information and data about the concept of the business, financing, and the team can be quickly integrated into the company’s ongoing strategy and tactics.Think of tech startup planning not as an occasional activity but as a continuous, daily process.Understand how to create and evaluate the concept of your business, finance that business, and build a team to support it.","Students will have gained a working knowledge and understanding of the main challenges associated with starting a tech-based business including (1) developing a concept of the business, (2) fundraising, and (3) building a team. In addition, students are encouraged to bring their ideas to the course, which allows those particular students to finish the course with a usable investor pitch.","Teams will take their respective cognitive learning-driven start-ups through customer discovery. Specifically, each team will be required to make a presentation and produce a final report.
Each presentation will come at the end of each course section, roughly equally spaced throughout the semester. Each team will make a ~25-minute presentation followed by ~15 minutes of discussion between fellow students, faculty, and invited guests. Students are, of course, encouraged to draw on resources beyond the assigned reading and lectures.
Presentations will be judged on the quality and depth of the analysis and clarity of presentations (see attached presentation assessment forms). Students can expect not only to develop but provide recommendations.
Grade weighting is as follows:
Customer Discovery Presentation: 20%Customer Discovery Report: 70%Class Participation: 10%Course Grade: 100%
Team presentations will collectively be evaluated on the quality, depth, and usefulness of the recommendations of their peers for that session. Grades are assigned by the professor with consideration to the quality of the discussion in the final grade.",None,Mark F. DeSantis,"ECE, MSIT, MS EAI",In person expectation,Not specified,,,,,,
DevOps: Software Development and IT Operations,04-632,Africa,12,Fall,https://www.africa.engineering.cmu.edu/academics/courses/04-632.html,"This course focuses on the technology aspect of DevOps. You will learn the basics of the infrastructure important to utilizing DevOps tools (i.e., virtualization, networking, the cloud, and infrastructure security). You will also learn the theory of fundamental DevOps concepts: Infrastructure as Code, configuration management, the deployment pipeline, microservice architecture, management of configuration parameters, the things that happen after a service is deployed, disaster recovery, and development-oriented security. Finally, you will see samples of the main DevOps tools.","After completing this course, students will be able to:
Explain the basic concepts of cloud infrastructure and infrastructure security.Enumerate and explain the basic theory of DevOps.Explain the basic classes of DevOps tools.Navigate the internet to learn about tool installation and use.",,Overview of DevOpsConfiguration ManagementInfrastructure securityVirtualizationContainer managementDeployment pipelineNetworkingCloudMicroservices architecturePostproduction and disaster recovery,Familiarity with programming languages and operating systems.,Eric Umuhoza,Special Topics in ICT,In person expectation,Not specified,,,,,,
Introduction to Machine Learning for Engineers,18-661,Pittsburgh,12,"Fall, Spring",https://www.africa.engineering.cmu.edu/academics/courses/18-661.html,"This course provides an introduction to machine learning with a special focus on engineering applications. The course starts with a mathematical background required for machine learning and covers approaches for supervised learning (linear models, kernel methods, decision trees, neural networks) and unsupervised learning (clustering, dimensionality reduction), as well as theoretical foundations of machine learning (learning theory, optimization). Evaluation will consist of mathematical problem sets and programming projects targeting real-world engineering applications.
See theoriginal course descriptionfor the most recent information.",,,,,Carlee Joe-WongGuannan QuYuejie ChiGauri Joshi,"ECE, MSIT, MS EAI",In person expectation,Not specified,,,,,,
Business Fundamentals for Engineers,04-800-AG,Africa,12,Spring,https://www.africa.engineering.cmu.edu/academics/courses/04-800-AG.html,"Participating as an executive in a successful technology business requires familiarity with several fundamental business functions:
Strategic planningFinance (including accounting)Product development and innovationMarketingOperationsSalesHuman resource management


","Students will acquire an executive perspective for thinking about technology businesses. They will:
Understand the broader economic environment in which businesses operate, and how governmental regulation can affect the business environmentUnderstand basic accounting principles and the key financial statements used to assess a company’s financial performance: the balance sheet, the income statement, and the cash flow statementKnow that strategic planning involves analyzing a business’s current situation, developing a vision for the business’s future, creating a strategy to achieve that vision, and an execution plan to operationalize the strategyUnderstand key marketing concepts such as product positioning, competitive analysis, branding, and pricing strategyKnow how to analyze the tradeoffs involved between in-house product development and outsourcing. Know the role of core competencies and how to develop and maintain themUnderstand the roles of sales, marketing, HR, and operations in an organizationGrasp basic managerial principles and appreciate managerial challengesBe able to competently engage in wide-ranging discussions about business issues","After completing the course, students will be able to do the following:
Competently engage with employees of diverse technology businesses and understand the business issues they confrontRead business literature, such as articles from the Harvard Business Review, and extract lessons from it that are relevant to their businessUse Quickbooks or a similar free tool (e.g. ZipBooks or gnucash) to track a company’s financial transactions and generate financial statementsUse a free CRM tool, such as HubSpot CRM, to manage customer contactsCreate the agenda for a strategy planning session and conduct such a meetingCreate a presentation describing a product’s market position relative to competitorsCall on a customer and conduct a sales meetingApply managerial principles in common business situations","Course content will comprise selections from the following sources (and others):
Openstax textbook: ""Introduction to Business""""Little Red Book of Selling""Harvard Business Review articlesWSJ and other current events sources
Microtopics reinforcing the above objectives and enabling the listed outcomes include:
Macro and micro economics and competition in a free marketThe importance of specialization, productivity, innovation, and trade for economic growth and business success.The role of tradeCorporations and the concept of limited liabilityOrganizational structuresEmployee compensation, training, and managing conflictThe production process and operations managementMarket segmentation, the product life cycle, buyer behavior, and pricing strategiesAccounting principles: T-accounts, chart of accounts, financial statementsReturn on investment, interest rates, raising capitalSelling strategies and the role of advertising",None,Michael Perkins,"ECE, MSIT, MS EAI",In person expectation,Not specified,,,,,,
Engineering Independent Study,04-980,Africa,Variable,"Fall, Spring",https://www.africa.engineering.cmu.edu/academics/courses/04-980.html,"Students can undertake an independent study project during any semester after their first semester under the guidance of a faculty member. The student and faculty member should define the nature and scope of the project, and agree upon the expectations, deliverables, and the number of units to be earned for the project.
Independent study of a topic unfamiliar to the student and not covered in an existing course, as well as original project work, can be undertaken as an Engineering Independent Study. A brief description of the project signed by both the faculty member and the student should be submitted and approved prior to the start of the semester.
It is the responsibility of the faculty member to monitor the progress of the student and grade the project at the end of the semester. The number of units can be 3-15 units for the semester. Up to 15 total units of Engineering Independent Student credit can be counted toward the degree.
Students selecting this course cannot take04-990 Engineering Research Project.",,,,First semester completed,,"ECE, MSIT, MS EAI",In person expectation,Not specified,,,,,,
Engineering Artificial Intelligence Capstone,04-950,Africa,12,"Fall, Spring",https://www.africa.engineering.cmu.edu/academics/courses/04-950.html,"The capstone is an opportunity in the CMU curriculum for students to refine and reinforce the skills they have acquired during the first year of their master’s degree program. Students exercise these skills through a one-semester, real-world project provided by an outside sponsor. The sponsor is an organization that agrees to support a CMU capstone project. They provide the project definition and necessary resources to complete the project. The sponsor designates an individual to be the project client who works directly with a student team. The Team is expected to perform as if they are a contract team that negotiates with the client the scope and details of the project. The project is then worked on by the team with the client to achieve the negotiated deliverables over the course of the semester. Each team is overseen by a faculty advisor whose role is to check on student progress and evaluate the academic performance of the students. Faculty advisors are not directly involved with the client or the project.

The capstone course consists of two parallel activities. The first is the capstone project which involves the
sponsor, client, and team as described above. The second is the capstone as a graded 12-unit academic
course. This involves the team and the faculty mentor with classes and assignments. The faculty member
assesses the team based on project reports, professionalism, project execution, and client feedback.","To provide an opportunity for students to demonstrate that they can apply what they have learned in their courses including:
Technical skillsProfessional skillsCritical thinking and problem-solving skills
To provide an opportunity for students to acquire practical skills by working on artificial intelligence and machine learning projects including:
Engaging with a clientDeveloping a work plan based on client requests and assessments of project constraintsApplying project management and Agile methodology","After completing this course, students should be able to:
Acquire and assess requirements with a clientMake effective trade-offs in a project to realize a product that satisfies the client’s objectivesDefine roles and tasks within a team and carry out a team project effectivelyMake a project schedule and adapt throughout the project to deal with unforeseen contingencies",,Corequisite of04-653 Engineering Artificial Intelligence Project Methods,Charles WiechaandTim Brown,"ECE, MSIT, MS EAI",In person expectation,Not specified,,,,,,
Foundations of Entrepreneurship,04-800-E,Africa,12,Fall,https://www.africa.engineering.cmu.edu/academics/courses/04-800-E.html,"Entrepreneurship in a broad sense consists of developing a product or service for a paying market, accepting risk in order to profit. This often includes the intention to scale (whether as its own business, licensed to an existing business, etc.). This course gives an introduction to the practice of entrepreneurship and focuses on its earliest stages: identifying opportunities and needs, researching and quantifying markets, and developing a marketable and scalable solution. Important in this process is testing and showing which customers will pay for the solution and what revenue models will fit the customers and the business. The course will help students develop a value-creation and business mindset, while its lessons may also be useful for developing non-profits and other entities/groups.","Students will learn and practice entrepreneurial ways of thinking and identifying needs in a market of interest. They will learn how to look critically at existing companies and their business models, perform customer discovery, evaluate customer needs, and construct a lean model canvas for developing a product/service concept into a profitable business. Students will be introduced to introductory topics in accounting, unit economics, and financing/investment options for early-stage businesses. Students will learn how to pitch a startup concept and construct an initial pitch deck to engage potential customers and investors.","By the end of this course, students should be able to:
Perform market research based on a selected customer categoryIdentify B2B and B2C business models being used by established companiesComplete customer discovery surveys and interviews to gauge customer needs, interests, and willingness to pay for different solutionsApply lean startup methodology in developing a business concept, including the pursuit of a minimum viable product that demonstrates product/market fitPut together a lean canvas model for a product, service, or business conceptIdentify and set up the three primary financial statements: profit and loss (or income) statement, balance sheet, and cash flow statement",Basic microeconomic and accounting concepts will also be covered for use in early-stage businesses. This course focuses on revenue-driven business models.,,Jesse Thornburg,"ECE, MSIT, MS EAI",In person expectation,Not specified,,,,,,
Applied Computer Vision,18-799-RW,Africa,12,Spring,https://www.africa.engineering.cmu.edu/academics/courses/18-799-RW.html,"This course provides students with a solid foundation in the key theories and practical applications of computer vision. It focuses on the techniques required for a variety of domains like robot vision, industrial inspection, and video surveillance. A key focus of the course is on the effective, practical implementation of computer vision solutions using software authored by the students and standard computer vision libraries. An introduction to deep learning and popular architectures therein is also provided.
The course covers optics, sensors, image formation, image acquisition & image representation. Subsequently, we will cover morphological operations, edge detection, region growing, and object segmentation. Building on this, the course then proceeds to deal with object detection and recognition in 2D, addressing interest point operators, gradient orientation histograms, the SIFT descriptor, color histogram intersection and back projection, the Hough transform, and template matching. The problem of recovery of 3D information is then addressed, introducing homogeneous coordinates and transformations, the perspective transformation, camera model, inverse perspective transformation, stereo vision, and epipolar geometry, as well as other depth cues.
Subsequently, the course will provide a brief introduction to a few machine learning techniques like K-means clustering, Markov Random Fields, and Bayesian classification. Color-based segmentation, snakes, and graph cuts will be studied. We will then discuss video image processing, the detection and tracking of moving objects.
The course finishes by addressing the important role played by machine learning in computer vision today. We will introduce deep learning and convolution neural networks as applied to computer vision. Popular architectures and applications will be discussed.","Apply their knowledge of image acquisition, image processing, and image analysis to extract useful information from visual images.Design, implement, and document appropriate, effective, and efficient software solutions for a variety of real-world computer vision problems.Exploit standard computer vision software libraries in the development of these solutions.Apply deep learning to solve classification problems using computer vision.","Use OpenCV, C++, CMake, and gcc to write computer vision programsExplain the theory and practical aspects of several computer vision algorithmsUnderstand the applicability of computer vision to a wide range of industrial, consumer, and commercial problemsCombine different computer vision algorithms to build practical applications",,Prior knowledge of coding in C or C++ would help greatly.,Moise Busogi,ECE,In person expectation,Not specified,,,,,,
Engineering Research Project,04-990,Africa,Variable,"Fall, Spring",https://www.africa.engineering.cmu.edu/academics/courses/04-990.html,"This course offers a research opportunity for students interested in pursuing a research or academic career or Ph.D. study. The research project is conducted under the supervision of a faculty research adviser who first approves it based on the student’s skills and mutual interest. The researchadviser and the student define and approve a study plan appropriate for the research.
The research will lead to the presentation and defense of a mini-thesis in front of a research committee that may lead to the publication of a scholarly paper or papers. The research committee consists of three members including the advisor, and may include one external member.
The student must complete 36 units of research over one or two semesters and may count 6 units of04-701 Research Methods in Engineeringtoward the total. The variable units (12-36) allow the students to spread the research project over two semesters.",,,,Completion of two semesters of study. Students selecting this course cannot take04-980 Engineering Independent Study.,,"ECE, MSIT, MS EAI",In person expectation,Not specified,,,,,,
Humanoid Robotics and Cognition,04-800-G,Africa,12,Fall,https://www.africa.engineering.cmu.edu/academics/courses/04-800-G.html,"This course explores the physical and cognitive dimensions of humanoid robots, robots that seek to mimic humans both in terms of their form and function. The course will introduce students to artificial intelligence (AI) and Machine Learning (ML) algorithms that enable robots to mimic human actions and behavior. The course will focus on the cognitive dimension of humanoid robotics which includes algorithms pertaining to scene/context understanding, human emotion recognition and understanding, humanoid behavior generation, and out-of-distribution-learning, to name a few. Enabling technologies such as meta-humans/meta-environments will be studied in order to understand the role of AI-driven physics simulations in accelerating the learning rate of humanoid robots.

The course will explore the technical, ethical, and philosophical dimensions of what it means for a robot to mimic human form and function and how these capabilities may shape future human-machine co-creation and interactions. This is a primarily project-based course where students will work in teams to explore the critical dimensions of humanoid robots.","Humanoid
Motivation for embodying the human form for roboticsImitating human behavioral characteristics (gait, facial expressions, etc.)Intelligence transcending embodiment (e.g., virtual reality for controlling virtual humanoids)
Cognition
Learning without an explicit ground truth/class variableMaking causal inferences/hypotheses generation and testingLearn how to evaluate the quality of AI models and the level of bias",,,"None, although students are expected to have completed a first-level graduate course in Machine Learning and to be able to program in Python.",Conrad Tucker,"ECE, MSIT, MS EAI",In person expectation,Not specified,,,,,,
Control of Grid-Connected Machines & Converters,18-862,Africa,12,Fall,https://www.africa.engineering.cmu.edu/academics/courses/18-862.html,"Electric machines are the backbone of power systems and any production process in the world. However, if uncontrolled or uncoordinated, they cause blackouts. Converters for renewables and electric vehicles are also challenging engineers to revisit and revise electric machine analysis and control. This course offers a classically-based, yet forward-looking understanding of electric machines, converters, their operation, control, and applications in vehicular technology and distributed generation, as well as their effects at a system level.","Students in the course will examine how to:
Derive dynamic models for power system elementsDesign electric vehicle motor and battery converter controlsSelect control parameters for each type of device to better serve secure power system operation","Students will gain an appreciation of how to elaborate and revise grid codes in response to technological advances and sector transformation. They will gain skills that enable them to analyze power system stability phenomena, identify contributing factors, and recommend how to mitigate them.",Vector controlsPark TransformationInduction and synchronous machine modeling and controlPower system stabilityGrid codeBlackouts,Undergraduate course in electric circuits or linear systems or permission from the instructor.,Barry Rawn,ECE,In person expectation,"Energy (Kigali)
Intelligent Physical Systems (Pittsburgh)",,,,,,
Project in Digital Transformation,04-801-S4,Africa,6,Spring,https://www.africa.engineering.cmu.edu/academics/courses/04-801-S4.html,"This is a project-oriented course where teams of students apply their learning in the companion Planning for Digital Transformation (DT) course, their degree program, or commercial experience, to propose a DT project in one of several topics. Business areas that students may focus on will include but are not limited to retail, manufacturing, logistics, healthcare, education, government, and non-governmental organizations. Suggested transformations may apply in different stages of the company life cycle from disruptive innovators to mature or faltering and in need of restructuring. There will be weekly assignments leading up to a final presentation.","The main objectives of this course are to:
Apply the principles of DT to identify specific use casesDefine the scope and develop a detailed plan for executing DTAccount for practical considerations such as electronic tools, the integrity of data sources, data governance, and regulatory complianceAddress the issue of fundamental value creation","Upon successful completion of this course, students should be able to:
Engage in the planning and implementation of DT in their organizationHelp develop new products for or improve the performance of an enterpriseEffectively communicate business recommendations",Case selection and project proposal using DT principlesQuantitative justification or simulation or implementation of a prototypeExercise in verification and validation against specified criteriaPresentation of DT plan and defense thereof,04-801-S3 Planning for Digital Transformationor by permission of the instructor,Ahmed Biyabani,"ECE, MSIT, MS EAI",In person expectation,Not specified,,,,,,
Cloud Computing,15-619,Africa,12,Spring,https://www.africa.engineering.cmu.edu/academics/courses/15-619.html,"This online course gives students an overview of the field of Cloud Computing, its enabling technologies, main building blocks, and hands-on experience through 4 projects utilizing a public cloud (Amazon Web Services). Cloud computing services are being adopted widely across a variety of organizations and in many domains. Simply, cloud computing is the delivery of computing as a service over a network, whereby distributed resources are rented, rather than owned, by an end user as a utility.

The course will introduce this domain and cover the topics of data centers, virtualization, cloud storage, and programming models. As an introduction, we will discuss the motivating factors, benefits, challenges, and service models. Modern data centers enable many of the economic and technological benefits of the cloud paradigm; hence, we will describe several concepts behind data center design and management. Next, we will focus on virtualization as a key cloud technique for offering software, computation, and storage services. We will study how CPU, memory, and I/O resources are virtualized, with examples from Xen and VMWare, and present real use cases such as Amazon EC2. Subsequently, students will learn about different cloud storage concepts including data distribution, durability, consistency, and redundancy. HDFS, PVFS, HBASE, Cassandra, and S3 will be presented as case studies.

Students will understand the details of the MapReduce programming model and gain a broad overview of alternative programming models such as Pregel, and GraphLab. Students will work with Amazon Web Services, use them to rent and provision compute resources and then program and deploy applications that run on these resources. Students will develop and evaluate scaling and load-balancing solutions. In addition, students will work with cloud storage systems and learn to develop applications in the MapReduce programming paradigm. Students will have to complete a project to design and implement a complete web-service solution for querying big data. For this project, the students are evaluated based on the cost and performance of their web services.","The goal of this class is to give students an overview of the field of Cloud Computing and an in-depth study of its enabling technologies and main building blocks. Students will gain hands-on experience solving relevant problems through projects that will utilize existing public cloud tools. It is our objective that students will develop the skills needed to become a practitioner or carry out research projects in this domain. Students will learn:
the fundamental ideas behind Cloud Computing, the evolution of the paradigm, its applicability; benefits, as well as current and future challengesthe basic ideas and principles in data center design and managementdifferent CPU, memory, and I/O virtualization techniques that serve in offering software, computation, and storage services on the cloudabout cloud storage technologies and relevant distributed file systemsthe variety of programming models and develop working experience in one of them","After completing this course students will be able to:
Explain the core concepts of the cloud computing paradigm: how and why this paradigm shift came about, the characteristics, advantages, and challenges brought about by the various models and services in cloud computingApply the fundamental concepts in data centers to understand the tradeoffs in power, efficiency, and costDiscuss system virtualization and outline its role in enabling the cloud computing system modelIllustrate the fundamental concepts of cloud storage and demonstrate their use in storage systems such as Amazon S3 and HDFSAnalyze various cloud programming models and apply them to solve problems on the cloudBuild cloud services that apply these conceptsPrerequisitesKnowledge of computer systems and Java programming",,Knowledge of computer systems and Java programming,Majd Sakr,"ECE, MSIT, MS EAI",Online,Not specified,,,,,,
